report_year,state,metal,total_air_emission_kg,total_water_emission_kg,total_land_emission_kg,facility_count
2009/2010,QLD,Cadmium & compounds,16293.807447655698,122.7378325818376,37.91601149101244,282
2009/2010,QLD,Lead & compounds,179962.89609441775,181.79651058375998,148.46347285255595,301
2009/2010,QLD,Mercury & compounds,944.6964737107213,4.90442385117216,0.613282302546246,303
2009/2010,SA,Cadmium & compounds,561.3459324245999,356.6137,0.3029533916981132,93
2009/2010,SA,Lead & compounds,46684.59847603806,3703.3086,60.45388749264151,100
2009/2010,SA,Mercury & compounds,151.56459544300142,16.727899999999998,0.07146941007277628,107
2009/2010,TAS,Cadmium & compounds,67.237337588,1121.0,0.4939287428708312,50
2009/2010,TAS,Lead & compounds,10542.192651178475,1833.77834844,10.373364741418742,56
2009/2010,TAS,Mercury & compounds,55.88586752231281,24.9508,0.02538926910174153,53
2009/2010,VIC,Cadmium & compounds,352.6552582217175,219.9563,3.5131231336046995,190
2009/2010,VIC,Lead & compounds,4367.28400958128,679.8405,17.004055196221145,213
2009/2010,VIC,Mercury & compounds,162.5273637595962,42.612460000000006,1.248134890440201,203
2009/2010,WA,Cadmium & compounds,1626.01424119366,434.45200023999996,106.49115874433261,203
2009/2010,WA,Lead & compounds,24313.87530397616,9235.2713608,1092.6092454930704,228
2009/2010,WA,Mercury & compounds,7271.503225361892,33.634610693,62.266434620401654,225
2010/2011,ACT,Cadmium & compounds,4.042799360239,0.1,0.0,9
2010/2011,ACT,Lead & compounds,11.635123219574,0.3,0.0,10
2010/2011,ACT,Mercury & compounds,6.215085983316101,0.1,0.0,11
2010/2011,NSW,Cadmium & compounds,793.522808018659,34.7843225386,8.5621757939872,203
2010/2011,NSW,Lead & compounds,25362.844906950093,145.949007188,207.2248375031424,255
2010/2011,NSW,Mercury & compounds,744.8033204736721,35.7374623276,2.69303781665088,235
2010/2011,NT,Cadmium & compounds,242.419556356,10.1396141,0.961321038,30
2010/2011,NT,Lead & compounds,5174.17210258429,400.91420636,7.257816367999999,34
2010/2011,NT,Mercury & compounds,297.5267467341279,1.1313924,0.6038006760000001,34
2010/2011,QLD,Cadmium & compounds,11747.837043014657,296.304776189,53.69539848075288,276
2010/2011,QLD,Lead & compounds,221419.57098673965,206.96357648,219.20375989688793,300
2010/2011,QLD,Mercury & compounds,811.930362499933,8.67382935,1.2431758619465505,303
2010/2011,SA,Cadmium & compounds,1502.4324145587916,362.7545,12.34170137781132,88
2010/2011,SA,Lead & compounds,51699.40563772789,3447.8372,67.77019387515094,97
2010/2011,SA,Mercury & compounds,271.4402448604525,14.782499999999999,2.136898235477628,108
2010/2011,TAS,Cadmium & compounds,147.3233054697,3352.2190000000005,0.3875879321153638,53
2010/2011,TAS,Lead & compounds,8451.660264819651,70656.44827461,9.005780935519137,58
2010/2011,TAS,Mercury & compounds,38.558677498846144,19.8303947,0.024026075475801136,59
2010/2011,VIC,Cadmium & compounds,310.74749317727,219.482,1.3984967994028166,194
2010/2011,VIC,Lead & compounds,4920.20323495684,1106.531,11.178445794812676,211
2010/2011,VIC,Mercury & compounds,175.8679414818598,22.950499999999998,0.5751081698458346,221
2010/2011,WA,Cadmium & compounds,1783.3881172588672,592.4665259,144.5957290550256,205
2010/2011,WA,Lead & compounds,29746.21178116112,6077.526471,1026.2738317063652,227
2010/2011,WA,Mercury & compounds,7264.26090815904,28.760948499999998,94.57387807777967,226
2011/2012,ACT,Cadmium & compounds,2.2805342617795,0.06,0.0033929900660377,10
2011/2012,ACT,Lead & compounds,32.093322555849,1.6,0.0152684552971698,11
2011/2012,ACT,Mercury & compounds,7.411064787587294,0.2,0.000145413859973,13
2011/2012,NSW,Cadmium & compounds,704.6737425449877,4.174794965,9.466854477059186,213
2011/2012,NSW,Lead & compounds,43388.83274263799,210.77363063925,207.03575532476634,261
2011/2012,NSW,Mercury & compounds,564.3511825472096,24.7487415845875,2.6797295523931024,251
2011/2012,NT,Cadmium & compounds,315.50174619,5.1344495,2.0794419462603773,28
2011/2012,NT,Lead & compounds,22709.594245841003,341.5436929,19.003676969471698,35
2011/2012,NT,Mercury & compounds,289.8031274606022,0.87086073,1.2759141129711589,31
2011/2012,QLD,Cadmium & compounds,11459.010329738412,25.1881500534,33.53783578359969,253
2011/2012,QLD,Lead & compounds,152684.71295077508,128.86607554,102.28397740794303,286
2011/2012,QLD,Mercury & compounds,679.0495510523621,62.48993665229167,0.7461296507999896,315
2011/2012,SA,Cadmium & compounds,7118.386383451696,812.5863,20.383793983801887,80
2011/2012,SA,Lead & compounds,68479.2027040761,6433.7558,115.37165756535849,89
2011/2012,SA,Mercury & compounds,295.11337568619206,12.0084,3.215489443490795,105
2011/2012,TAS,Cadmium & compounds,149.951382310202,3372.6020000000003,0.2783681793342317,47
2011/2012,TAS,Lead & compounds,14046.930547499343,2559.73441,9.440678807504044,51
2011/2012,TAS,Mercury & compounds,26.54454486395956,17.5695947,0.020296066271466975,51
2011/2012,VIC,Cadmium & compounds,340.550970362565,204.4364,3.1215661878916614,190
2011/2012,VIC,Lead & compounds,3777.320338212565,866.007,14.125608092510587,211
