year,sex,cancer_type,cancer_cases,cancer_deaths,fatality_ratio
1993,males,Myeloma,462.0,303.0,0.655844
1993,males,Non-Hodgkin lymphoma,1528.0,717.0,0.469241
1993,males,Oesophageal cancer,566.0,550.0,0.971731
1993,males,Pancreatic cancer,773.0,754.0,0.97542
1993,males,Prostate cancer,11178.0,2539.0,0.227143
1993,males,Rectal cancer,2036.0,640.0,0.314342
1993,males,Stomach cancer,1221.0,786.0,0.643735
1993,males,Testicular cancer,475.0,16.0,0.033684
1993,males,Thyroid cancer,151.0,30.0,0.198675
1993,males,Tongue cancer,265.0,116.0,0.437736
1993,males,Unknown primary site,1458.0,1023.0,0.701646
1993,persons,Acute lymphoblastic leukaemia,264.0,147.0,0.556818
1993,persons,Acute myeloid leukaemia,588.0,548.0,0.931973
1993,persons,Anal cancer,32.0,5.0,0.15625
1993,persons,Bladder cancer,2180.0,766.0,0.351376
1993,persons,Bowel cancer,9855.0,4398.0,0.446271
1993,persons,Brain cancer,1110.0,915.0,0.824324
1993,persons,Breast cancer,8843.0,2626.0,0.296958
1993,persons,Chronic lymphocytic leukaemia,670.0,219.0,0.326866
1993,persons,Chronic myeloid leukaemia,293.0,200.0,0.682594
1993,persons,Colon cancer,6491.0,3289.0,0.506702
1993,persons,Head and neck excluding lip,2263.0,943.0,0.416703
1993,persons,Head and neck including lip,3251.0,956.0,0.294063
1993,persons,Hodgkin lymphoma,350.0,83.0,0.237143
1993,persons,Kidney cancer,1455.0,699.0,0.480412
1993,persons,Laryngeal cancer,588.0,247.0,0.420068
1993,persons,Liver cancer,501.0,501.0,1.0
1993,persons,Lung cancer,7322.0,6352.0,0.867523
1993,persons,Melanoma of the skin,6765.0,853.0,0.12609
1993,persons,Myeloma,793.0,546.0,0.688525
1993,persons,Non-Hodgkin lymphoma,2710.0,1333.0,0.491882
1993,persons,Oesophageal cancer,918.0,829.0,0.90305
1993,persons,Pancreatic cancer,1531.0,1477.0,0.964729
1993,persons,Rectal cancer,3364.0,1109.0,0.329667
1993,persons,Stomach cancer,1848.0,1232.0,0.666667
1993,persons,Thyroid cancer,677.0,78.0,0.115214
1993,persons,Tongue cancer,368.0,172.0,0.467391
1993,persons,Unknown primary site,2792.0,2042.0,0.731375
1994,females,Acute lymphoblastic leukaemia,117.0,54.0,0.461538
1994,females,Acute myeloid leukaemia,285.0,242.0,0.849123
1994,females,Anal cancer,39.0,10.0,0.25641
1994,females,Bladder cancer,518.0,216.0,0.416988
1994,females,Bowel cancer,4752.0,2107.0,0.443392
1994,females,Brain cancer,495.0,432.0,0.872727
1994,females,Breast cancer,9747.0,2669.0,0.273828
1994,females,Cervical cancer,1144.0,341.0,0.298077
1994,females,Chronic lymphocytic leukaemia,314.0,105.0,0.334395
1994,females,Chronic myeloid leukaemia,145.0,88.0,0.606897
1994,females,Colon cancer,3306.0,1711.0,0.517544
1994,females,Head and neck excluding lip,591.0,232.0,0.392555
1994,females,Head and neck including lip,831.0,238.0,0.286402
1994,females,Hodgkin lymphoma,158.0,28.0,0.177215
1994,females,Kidney cancer,544.0,288.0,0.529412
1994,females,Laryngeal cancer,65.0,36.0,0.553846
1994,females,Liver cancer,147.0,196.0,1.333333
1994,females,Lung cancer,2259.0,1901.0,0.841523
1994,females,Melanoma of the skin,3113.0,288.0,0.092515
1994,females,Myeloma,348.0,292.0,0.83908
1994,females,Non-Hodgkin lymphoma,1268.0,625.0,0.492902
1994,females,Oesophageal cancer,341.0,303.0,0.888563
1994,females,Ovarian cancer,1066.0,730.0,0.684803
1994,females,Pancreatic cancer,745.0,690.0,0.926174
1994,females,Rectal cancer,1446.0,396.0,0.273859
1994,females,Stomach cancer,633.0,466.0,0.736177
1994,females,Thyroid cancer,540.0,41.0,0.075926
1994,females,Tongue cancer,130.0,53.0,0.407692
1994,females,Unknown primary site,1266.0,940.0,0.742496
1994,females,Uterine cancer,1358.0,248.0,0.182622
1994,males,Acute lymphoblastic leukaemia,158.0,95.0,0.601266
1994,males,Acute myeloid leukaemia,355.0,290.0,0.816901
1994,males,Anal cancer,34.0,14.0,0.411765
1994,males,Bladder cancer,1594.0,509.0,0.319322
1994,males,Bowel cancer,5529.0,2480.0,0.448544
1994,males,Brain cancer,664.0,556.0,0.837349
1994,males,Breast cancer,72.0,20.0,0.277778
1994,males,Chronic lymphocytic leukaemia,450.0,160.0,0.355556
1994,males,Chronic myeloid leukaemia,183.0,123.0,0.672131
1994,males,Colon cancer,3389.0,1827.0,0.539097
1994,males,Head and neck excluding lip,1644.0,699.0,0.425182
1994,males,Head and neck including lip,2385.0,707.0,0.296436
1994,males,Hodgkin lymphoma,202.0,45.0,0.222772
1994,males,Kidney cancer,961.0,441.0,0.458897
1994,males,Laryngeal cancer,491.0,203.0,0.413442
1994,males,Liver cancer,381.0,358.0,0.939633
1994,males,Lung cancer,5415.0,4833.0,0.892521
1994,males,Melanoma of the skin,3826.0,609.0,0.159174
1994,males,Myeloma,484.0,316.0,0.652893
1994,males,Non-Hodgkin lymphoma,1493.0,780.0,0.522438
1994,males,Oesophageal cancer,615.0,572.0,0.930081
1994,males,Pancreatic cancer,846.0,790.0,0.933806
1994,males,Prostate cancer,13080.0,2613.0,0.199771
1994,males,Rectal cancer,2140.0,653.0,0.30514
1994,males,Stomach cancer,1202.0,829.0,0.689684
1994,males,Testicular cancer,539.0,27.0,0.050093
1994,males,Thyroid cancer,184.0,24.0,0.130435
